College_Code,Year,median,count,college_median_prev,college_pop_prev,college_trend_prev3_slope
E103,2023,44366.0,391,50282.0,953,-2500.250000000366
E103,2024,62571.5,486,49711.0,1344,-2386.999999999512
E104,2020,90891.0,109,,0,
E104,2021,71659.0,213,90891.0,109,
E104,2022,68651.0,226,81275.0,322,-19232.00000000874
E104,2023,70083.0,227,71659.0,548,-11120.000000000377
E104,2024,106820.0,257,70871.0,775,-788.0000000000443
E105,2020,34402.0,331,,0,
E105,2021,32955.0,411,34402.0,331,
E105,2022,34688.0,413,33678.5,742,-1447.0000000006542
E105,2023,33955.0,509,34402.0,1155,142.99999999974264
E105,2024,34850.0,537,34178.5,1664,500.00000000001734
E106,2020,86676.0,108,,0,
E106,2021,79323.5,260,86676.0,108,
E106,2022,78956.5,306,82999.75,368,-7352.500000003326
E106,2023,71768.5,354,79323.5,674,-3859.7500000002415
E106,2024,107567.0,392,79140.0,1028,-3777.4999999993875
E107,2020,28244.5,228,,0,
E107,2021,26596.0,252,28244.5,228,
E107,2022,27496.0,263,27420.25,480,-1648.5000000007485
E107,2023,29136.0,273,27496.0,743,-374.25000000016433
E107,2024,35187.0,285,27870.25,1016,1269.999999999836
E108,2020,51215.0,183,,0,
E108,2021,48691.0,210,51215.0,183,
E108,2022,58420.0,223,49953.0,393,-2524.0000000011382
E108,2023,61433.5,232,51215.0,616,3602.4999999987895
E108,2024,105861.0,409,54817.5,848,6371.2499999994925
E109,2020,139113.5,24,,0,
E109,2021,89869.0,139,139113.5,24,
E109,2022,86127.5,162,114491.25,163,-49244.500000022366
E109,2023,85094.0,185,89869.0,325,-26493.00000000144
E109,2024,125297.5,202,87998.25,510,-2387.4999999998095
E111,2020,75509.0,101,,0,
E111,2021,71242.0,176,75509.0,101,
E111,2022,74518.0,269,73375.5,277,-4267.0000000019145
E111,2023,73326.0,271,74518.0,546,-495.5000000005473
E111,2024,103946.0,255,73922.0,817,1042.000000000017
E112,2020,106384.0,35,,0,
E112,2021,82389.0,123,106384.0,35,
E112,2022,81014.5,150,94386.5,158,-23995.0000000109
E112,2023,79506.0,182,82389.0,308,-12684.750000000753
E112,2024,128130.0,181,81701.75,490,-1441.499999999843
E113,2020,133145.0,32,,0,
E113,2021,97147.5,126,133145.0,32,
E113,2022,88748.0,236,115146.25,158,-35997.500000016335
E113,2023,80197.0,273,97147.5,394,-22198.500000000393
E113,2024,129303.5,240,92947.75,667,-8475.249999999067
E114,2020,61591.0,239,,0,
E114,2021,60662.0,294,61591.0,239,
E114,2022,60411.0,295,61126.5,533,-929.0000000004063
E114,2023,76565.0,303,60662.0,828,-590.0000000000082
E114,2024,83279.0,272,61126.5,1131,7951.499999998627
E115,2020,35333.0,189,,0,
E115,2021,35121.0,193,35333.0,189,
E115,2022,46782.0,342,35227.0,382,-212.00000000009902
E115,2023,65816.0,445,35333.0,724,5724.499999998646
E115,2024,60201.0,359,41057.5,1169,15347.49999999808
E116,2020,148765.0,5,,0,
E116,2021,104809.0,71,148765.0,5,
E116,2022,89651.0,112,126787.0,76,-43956.00000001996
E116,2023,90022.0,12,104809.0,188,-29556.999999999938
E116,2024,139354.0,157,97415.5,200,-7393.499999999646
E118,2020,27842.0,34,,0,
E118,2021,33192.5,380,27842.0,34,
E118,2022,29644.5,444,30517.25,414,5350.500000002438
E118,2023,26776.5,500,29644.5,858,901.2500000006115
E118,2024,37635.0,438,28743.25,1358,-3207.999999999665
E119,2020,140486.0,17,,0,
E119,2021,120768.5,46,140486.0,17,
E119,2022,100787.0,63,130627.25,63,-19717.50000000895
E119,2023,106898.5,64,120768.5,126,-19849.499999998432
E119,2024,156185.0,77,113833.5,190,-6935.00000000003
E120,2020,132190.0,3,,0,
E120,2021,119264.0,62,132190.0,3,
E120,2022,90421.5,66,125727.0,65,-12926.000000005844
E120,2023,100280.0,101,119264.0,131,-20884.24999999715
E120,2024,142966.0,100,109772.0,232,-9492.000000000107
E121,2020,135835.0,23,,0,
E121,2021,98546.0,146,135835.0,23,
E121,2022,73989.0,143,117190.5,169,-37289.00000001692
E121,2023,82810.0,146,98546.0,312,-30922.999999998578
E121,2024,123081.0,143,90678.0,458,-7868.000000000138
E123,2020,62768.0,56,,0,
E123,2021,73013.0,173,62768.0,56,
E123,2022,66558.0,191,67890.5,229,10245.00000000468
E123,2023,78875.0,223,66558.0,420,1895.0000000011237
E123,2024,92427.0,211,69785.5,643,2930.9999999991146
E124,2020,109830.0,74,,0,
E124,2021,84778.5,124,109830.0,74,
E124,2022,90016.0,131,97304.25,198,-25051.500000011376
E124,2023,97357.5,138,90016.0,329,-9907.000000001552
E124,2024,131967.0,143,93686.75,467,6289.499999999247
E126,2020,29624.5,344,,0,
E126,2021,25747.0,353,29624.5,344,
E126,2022,23958.0,347,27685.75,697,-3877.5000000017603
E126,2023,30361.0,439,25747.0,1044,-2833.249999999941
E126,2024,31057.5,408,27685.75,1483,2306.9999999994952
E127,2020,141797.0,9,,0,
E127,2021,99268.0,91,141797.0,9,
E127,2022,82576.0,97,120532.5,100,-42529.000000019296
E127,2023,87513.0,145,99268.0,197,-29610.499999999683
E127,2024,139529.0,137,93390.5,342,-5877.500000000003
E128,2020,91106.5,156,,0,
E128,2021,87263.0,173,91106.5,156,
E128,2022,72207.0,231,89184.75,329,-3843.500000001736
E128,2023,71777.0,494,87263.0,560,-9449.749999998403
E128,2024,118525.0,310,79735.0,1054,-7742.999999999583
E129,2020,40827.5,124,,0,
E129,2021,67963.0,333,40827.5,124,
E129,2022,51670.0,269,54395.25,457,27135.50000001234
E129,2023,78768.0,25,51670.0,726,5421.2500000028995
E129,2024,63348.5,278,59816.5,751,5402.499999998086
E130,2020,137101.0,49,,0,
E130,2021,98275.0,5,137101.0,49,
E130,2022,86290.0,117,117688.0,54,-38826.000000017615
E130,2023,93339.0,177,98275.0,171,-25405.50000000007
E130,2024,133888.0,257,95807.0,348,-2468.000000000304
E132,2020,149621.0,17,,0,
E132,2021,107997.0,62,149621.0,17,
E132,2022,90698.0,79,128809.0,79,-41624.00000001887
E132,2023,101841.5,106,107997.0,158,-29461.49999999957
E132,2024,155915.0,141,104919.25,264,-3077.750000000516
E133,2020,65358.5,210,,0,
E133,2021,46333.0,223,65358.5,210,
E133,2022,42880.5,264,55845.75,433,-19025.500000008633
E133,2023,41287.0,284,46333.0,697,-11239.000000000324
E133,2024,51354.0,283,44606.75,981,-2522.9999999997763
E134,2020,94889.0,1,,0,
E134,2021,78120.0,120,94889.0,1,
E134,2022,72374.0,130,86504.5,121,-16769.0000000076
E134,2023,97882.0,142,78120.0,251,-11257.49999999997
E134,2024,136102.0,178,86504.5,393,9880.999999997946
E135,2020,93706.0,67,,0,
E135,2021,70717.0,93,93706.0,67,
E135,2022,75250.5,152,82211.5,160,-22989.00000001044
E135,2023,69601.5,150,75250.5,312,-9227.750000001395
E135,2024,111887.5,178,72983.75,462,-557.7499999996321
E136,2020,134490.0,15,,0,
E136,2021,103730.0,72,134490.0,15,
E136,2022,105289.0,104,119110.0,87,-30760.000000013948
E136,2023,108459.0,141,105289.0,191,-14600.500000001357
E136,2024,143598.5,176,106874.0,332,2364.499999999681
E139,2020,128829.0,15,,0,
E139,2021,100048.0,108,128829.0,15,
