College_Code,Branch,Category,College_Tier,Round,Year,Exam_Type,Cutoff_Rank
E048,IE Info.Science,GM,1,1,2022,KCET,1363.0
E048,IE Info.Science,3AG,1,2,2021,KCET,1369.0
E006,CS Computers,GMK,1,1,2022,KCET,1373.0
E048,IE Info.Science,3BG,1,1,2021,KCET,1378.0
E048,CS Computers,3BG,1,2,2020,KCET,1384.0
E048,CS Computers,3BG,1,1,2020,KCET,1384.0
E006,"AD Artificial Intel, Data Sc",GM,1,2,2021,KCET,1389.0
E006,CS Computers,3AG,1,2,2022,KCET,1393.0
E006,AI Artificial Intelligence,3AG,1,1,2021,KCET,1393.0
E009,CS Computers,3AG,1,3,2021,KCET,1393.0
E048,IE Info.Science,GM,1,3,2020,KCET,1396.0
E005,AI Artificial Intelligence,1G,1,1,2021,KCET,1402.0
E005,AI Artificial Intelligence,1G,1,2,2021,KCET,1402.0
E005,AI Artificial Intelligence,1G,1,3,2021,KCET,1402.0
E048,EC Electronics,GM,1,1,2020,KCET,1403.0
E048,DS Comp. Sc. Engg- Data Sc.,GM,1,1,2022,KCET,1403.0
E006,CS Computers,3BG,1,3,2021,KCET,1405.0
E048,AI Artificial Intelligence,1G,1,2,2021,KCET,1405.0
E048,AI Artificial Intelligence,1G,1,1,2021,KCET,1405.0
E009,CS Computers,3BH,1,1,2020,KCET,1405.0
E005,AI Artificial Intelligence,GMK,1,2,2022,KCET,1408.0
E005,AI Artificial Intelligence,GMK,1,3,2022,KCET,1408.0
E005,AI Artificial Intelligence,GMK,1,1,2022,KCET,1408.0
E006,IE Info.Science,3BG,1,1,2021,KCET,1412.0
E009,CS Computers,GMH,1,2,2020,KCET,1412.0
E048,CS Computers,3AG,1,3,2020,KCET,1417.0
E048,CS Computers,3AG,1,2,2020,KCET,1417.0
E009,CS Computers,3BG,1,2,2020,KCET,1420.0
E021,CS Computers,3BG,1,1,2020,KCET,1420.0
E048,CS Computers,3BG,1,3,2020,KCET,1420.0
E006,IE Info.Science,GMH,1,2,2021,KCET,1422.0
E005,SE Aero Space Engg.,GM,1,1,2021,KCET,1423.0
E005,AI Artificial Intelligence,GMH,1,3,2022,KCET,1424.0
E005,EC Electronics,2BG,1,1,2020,KCET,1442.0
E005,CY CS- Cyber Security,3BH,1,1,2022,KCET,1446.0
E005,IE Info.Science,GMH,1,3,2022,KCET,1446.0
E005,CY CS- Cyber Security,GMH,1,2,2022,KCET,1446.0
E005,CY CS- Cyber Security,3BG,1,2,2022,KCET,1449.0
E005,EC Electronics,GMK,1,1,2021,KCET,1453.0
E048,IE Info.Science,3AG,1,1,2020,KCET,1453.0
E005,CS Computers,3BR,1,3,2021,KCET,1453.0
E006,CS Computers,GMRH,1,1,2021,KCET,1455.0
E006,CS Computers,GMRH,1,2,2021,KCET,1455.0
E005,CS Computers,SCG,1,1,2020,KCET,1459.0
E001,CS Computers,GM,1,1,2021,KCET,1459.0
E005,EC Electronics,GMH,1,2,2020,KCET,1463.0
E048,CS Computers,3BG,1,1,2022,KCET,1465.0
E005,EC Electronics,3BG,1,2,2021,KCET,1466.0
E003,EC Electronics,GM,1,2,2021,KCET,1468.0
E005,CS Computers,GMK,1,1,2020,KCET,1469.0
E005,EE Electrical,GM,1,1,2020,KCET,1470.0
E009,CS Computers,GMR,1,1,2021,KCET,1472.0
E005,AI Artificial Intelligence,GMK,1,1,2021,KCET,1476.0
E048,CS Computers,3BG,1,2,2022,KCET,1477.0
E048,IE Info.Science,3BG,1,2,2021,KCET,1481.0
E005,EC Electronics,GMH,1,3,2020,KCET,1484.0
E021,CS Computers,3AG,1,1,2021,KCET,1485.0
E005,EC Electronics,1G,1,1,2020,KCET,1485.0
E021,CS Computers,3AG,1,2,2021,KCET,1485.0
E005,EC Electronics,1G,1,3,2020,KCET,1485.0
E048,CS Computers,3AG,1,1,2022,KCET,1488.0
E021,CS Computers,GMH,1,1,2020,KCET,1494.0
E006,IE Info.Science,3AG,1,2,2021,KCET,1495.0
E048,CS Computers,3AG,1,3,2021,KCET,1495.0
E006,IE Info.Science,3BG,1,2,2021,KCET,1499.0
E006,CS Computers,GMR,1,1,2022,KCET,1501.0
E048,CS Computers,GMH,1,1,2022,KCET,1505.0
E006,CS Computers,3BR,1,1,2022,KCET,1515.0
E009,CS Computers,GM,1,3,2022,KCET,1528.0
