college_code,college_name,branch_code,branch_name,1G,1K,1R,2AG,2AK,2AR,2BG,2BK,2BR,3AG,3AK,3AR
E049,Basaveshwara Engineering College  Bagalkot,AI,Artificial Intelligence,45095.0,,,34722.0,,43854.0,49947.0,,,3391.0,,
E049,Basaveshwara Engineering College  Bagalkot,BT,Biotechnology,,,,86611.0,,,120509.0,,162141.0,,,
E049,Basaveshwara Engineering College  Bagalkot,CE,Civil Engineering,134007.0,,,116045.0,,,,,,,,
E049,Basaveshwara Engineering College  Bagalkot,CS,Computer Science,35352.0,,,33187.0,,35411.0,41318.0,,,2928.0,,
E049,Basaveshwara Engineering College  Bagalkot,EC,Electronics,43054.0,,,34833.0,,,64275.0,,,3792.0,,
E049,Basaveshwara Engineering College  Bagalkot,IE,Information Science,43960.0,,,45617.0,48050.0,47289.0,56250.0,,,4250.0,,
E054,"K V G College of Engineering  Sullia,D.K District",CS,Computer Science,100073.0,,,107634.0,,118264.0,86172.0,110078.0,,9616.0,,
E054,"K V G College of Engineering  Sullia,D.K District",CE,Civil Engineering,,,,192867.0,,,,,,,,
E054,"K V G College of Engineering  Sullia,D.K District",CS,Computer Science,98675.0,,,,,9556.0,,,,,,
E054,"K V G College of Engineering  Sullia,D.K District",EC,Electronics,110729.0,,,,129501.0,,140714.0,9684.0,,,,
E054,"K V G College of Engineering  Sullia,D.K District",ME,Mechanical,,,,,,,,,,,,
E055,"P A College of Engineering  Bantwal, Mangalore",AI,Artificial Intelligence,88589.0,,,99135.0,,,85987.0,,,10236.0,,
E055,"P A College of Engineering  Bantwal, Mangalore",BT,Biotechnology,,,,105150.0,,,94961.0,,107745.0,,,
E055,"P A College of Engineering  Bantwal, Mangalore",CE,Civil Engineering,,,,200845.0,,,,,,17822.0,,
E055,"P A College of Engineering  Bantwal, Mangalore",CS,Computer Science,89795.0,,,98264.0,77979.0,,,9709.0,,,,
E055,"P A College of Engineering  Bantwal, Mangalore",EC,Electronics,133499.0,,,116316.0,,,,,,,,
E055,"P A College of Engineering  Bantwal, Mangalore",ME,Mechanical,,,,176878.0,,,,,,24466.0,,
E056,The National Institute of Engineering(SOUTH CAMPUS)  Mysore,CE,Civil Engineering,,107227.0,,,,9492.0,,,,,,
E056,The National Institute of Engineering(SOUTH CAMPUS)  Mysore,EC,Electronics,19096.0,,19331.0,20091.0,,20180.0,25337.0,75618.0,,1106.0,,
E056,The National Institute of Engineering(SOUTH CAMPUS)  Mysore,EE,Electrical,31110.0,,,31209.0,,52684.0,27200.0,,,2839.0,,
