College_Branch_target_enc,hist_mean,hist_count
22572.923393254227,17801.64814814815,54
22591.15664041233,10855.0,3
22643.56283463913,8472.333333333334,3
22649.992480309244,18597.0,1
22700.721803861263,7834.0,1
22725.861446332063,19881.204545454544,44
22753.193984247395,5992.0,1
22768.735259012472,22076.866666666665,15
22776.98997374565,12961.5,4
22779.163971523794,19541.64864864865,37
22779.648120257418,18402.0,31
22807.54495737582,23059.645161290322,31
22839.449076588546,6308.0,1
22858.9601305426,26035.58823529412,51
22863.4653434918,33147.83,100
22865.6355823698,19923.2,20
22876.872595814773,23534.28846153846,52
22908.548871386,7466.0,1
22981.9939842474,5266.5,2
22994.896255381645,22257.090909090908,44
22996.81315980556,23152.8,40
23008.861772623022,29595.88,50
23012.13426321056,4892.0,1
23023.592016491304,41826.88,75
23068.10442694155,20122.5,2
23085.79317335297,21759.69230769231,26
23093.81633118984,25673.883333333335,60
23101.22138670103,19833.2,25
23185.61226914713,19577.555555555555,9
23255.23496061849,13547.4,5
23257.390189726066,20627.675675675677,37
23261.99331583044,25037.333333333332,3
23276.548871386,6812.0,1
23277.703518739792,15701.2,25
23306.565080676017,30923.77142857143,35
23313.77109360821,19017.0,2
23332.705691782,18234.0,2
23369.77109360821,18765.0,2
23426.91063091739,17132.88888888889,18
23435.556978346216,21094.39024390244,41
23445.584890141807,24331.3,60
23481.242480309244,39181.0,1
23519.693984247395,53999.0,1
23554.06403098769,30663.619047619046,21
23558.3879684948,16061.666666666666,3
23575.5879684948,28150.0,1
23603.73024006034,14525.875,8
23629.470380077764,28878.82,100
23710.885840804327,19059.48888888889,45
23782.06999624937,17956.18181818182,11
23809.0507678844,27820.75,28
23838.388383591588,22832.1,60
23843.4939842474,9423.0,1
23863.48496061849,5261.0,1
23896.245751266768,25333.935483870966,31
23919.867480309244,8438.0,1
23941.11788963069,22209.076923076922,52
23959.40306728678,20134.070175438595,57
24010.428926362547,22044.410714285714,56
24028.56283463913,18080.5,2
24039.982311228174,27120.71111111111,45
24068.083726143625,23172.071428571428,14
24166.1029296765,18647.055555555555,36
24208.332987600425,26524.977272727272,44
24213.82780103595,18559.125,8
24223.99841690721,20066.18181818182,11
24266.313253505767,26088.61224489796,49
24284.47469921237,24409.396226415094,53
24300.26047243985,17232.714285714286,7
24310.64403099792,33298.14,100
24319.117480309244,17768.333333333332,3
24328.73496061849,3075.0,1
24392.367480309244,30932.5,2
24393.87163349953,22375.722222222223,18
24411.867480309244,9066.0,1
24444.52290606089,26374.490566037737,53
24444.731769581213,23673.727272727272,44
24521.657856339152,27989.291666666668,48
24531.3879684948,32538.0,1
24543.437760274883,34152.5,2
24555.313280824656,13362.0,2
24555.879827713456,24700.071428571428,28
24581.16284127618,31323.844444444443,45
24583.723723051546,25598.80769230769,52
24587.63558893576,27655.95918367347,49
24610.97863074986,26463.428571428572,35
24675.912568084743,25953.650602409638,83
24696.646614157988,4513.5,2
24739.5823307079,20003.923076923078,13
24747.90065315531,19567.0,12
24754.03889639744,26065.666666666668,30
24779.98496061849,1270.0,1
24797.242480309244,11715.333333333334,3
24852.41997749628,26762.333333333332,3
24883.10442694155,8826.0,1
24899.03541978884,34759.933333333334,15
24899.137510411,28072.85714285714,84
24922.74161205631,24786.5641025641,39
24930.09966579152,24775.28888888889,45
24956.604819705,22138.879310344826,58
24991.646614157988,31108.0,1
25001.83709267072,37254.57142857143,35
25004.66840663996,41758.362068965514,58
25080.8996461322,23241.583333333332,48
25089.86378564308,20895.340425531915,47
25128.9093429711,24571.6,35
25203.30272647714,25206.021739130436,46
25203.81532722325,34923.65060240964,83
25206.085440224902,7203.0,1
25217.70119324614,27705.083333333332,48
25221.97716300354,27586.736842105263,19
25246.203178238044,39215.333333333336,9
25256.992480309244,23047.0,1
25348.06141453517,21884.65625,32
