College_Code,Year,Cutoff_Rank
E045,2021,73785.5
E045,2022,85438.0
E045,2023,100386.0
E045,2024,136284.0
E046,2020,96276.0
E046,2021,103242.0
E046,2022,92488.0
E046,2023,101669.0
E046,2024,147153.0
E047,2020,43829.0
E047,2021,54256.0
E047,2022,41238.0
E047,2023,50128.0
E047,2024,69883.0
E048,2020,16933.0
E048,2021,15099.0
E048,2022,14755.0
E048,2023,20441.0
E048,2024,17519.0
E049,2020,47408.0
E049,2021,36676.0
E049,2022,59876.0
E049,2023,36382.0
E049,2024,72687.0
E054,2020,109956.0
E054,2021,108941.5
E054,2022,136361.0
E054,2023,103791.0
E054,2024,135438.5
E055,2020,108504.0
E055,2021,108817.0
E055,2022,102469.0
E055,2023,113887.0
E055,2024,145246.0
E056,2020,15134.0
E056,2021,17959.0
E056,2022,37256.0
E056,2023,41463.0
E056,2024,69072.0
E057,2020,26960.5
E057,2021,17770.0
E057,2022,19282.0
E057,2023,28291.0
E057,2024,34725.0
E058,2020,45561.5
E058,2021,36969.0
E058,2022,31285.0
E058,2023,35612.5
E058,2024,56118.0
E059,2020,61919.0
E059,2021,63480.5
E059,2022,55971.0
E059,2023,70309.0
E059,2024,104259.0
E060,2020,38438.0
E060,2021,28263.5
E060,2022,32898.0
E060,2023,28084.0
E060,2024,37843.5
E061,2020,52015.0
E061,2021,61632.0
E061,2022,74905.0
E061,2023,92937.0
E061,2024,83233.0
E062,2020,55949.5
E062,2021,63306.0
E062,2022,54927.0
E062,2023,61576.0
E062,2024,93781.5
E063,2020,128765.0
E063,2021,98922.0
E063,2022,111700.0
E063,2023,105303.5
E063,2024,158087.0
E064,2020,66211.0
E064,2021,59852.0
E064,2022,59720.5
E064,2023,65703.5
E064,2024,109980.5
E065,2020,50161.0
E065,2021,51639.0
E065,2022,51655.0
E065,2023,64605.0
E065,2024,101635.0
E066,2024,118392.5
E070,2020,123401.0
E070,2021,102879.0
E070,2022,103613.5
E070,2023,93459.0
E070,2024,131136.0
E071,2020,33017.0
E071,2021,30225.0
E071,2022,33654.0
E071,2023,40711.0
E071,2024,56340.0
E075,2020,74186.5
E075,2021,68466.0
E075,2022,76484.0
E075,2023,72107.0
E075,2024,96545.0
E076,2020,107348.5
E076,2021,99960.0
E076,2022,111407.0
E076,2023,114558.0
E076,2024,161550.0
E077,2020,72061.0
E077,2021,66961.0
E077,2022,58457.0
E077,2023,73527.5
E077,2024,101064.0
E078,2020,58399.0
E078,2021,54155.0
E078,2022,60551.0
E078,2023,71374.0
E078,2024,97159.0
E079,2020,39232.0
E079,2021,46853.0
E079,2022,48138.5
E079,2023,61049.0
E079,2024,66747.0
E081,2020,142892.5
E081,2021,106800.0
E081,2022,98309.5
E081,2023,109026.0
E081,2024,166362.0
E082,2020,30785.0
E082,2021,40415.0
E082,2022,39467.5
E082,2023,43364.0
E082,2024,62917.0
E083,2020,83478.0
E083,2021,75454.0
E083,2022,71082.5
E083,2023,68866.0
E083,2024,100656.0
E085,2020,87846.0
E085,2021,72309.0
E085,2022,69022.0
E085,2023,78714.5
E085,2024,106281.0
E086,2020,113419.0
E086,2021,89743.0
E086,2022,80778.0
E086,2023,85107.0
E086,2024,111480.0
E087,2020,102849.0
E087,2021,71007.0
E087,2022,75479.0
E087,2023,70842.0
E087,2024,120957.0
E088,2020,71928.0
E088,2021,89896.0
E088,2022,75642.5
E088,2023,69823.0
E088,2024,98637.5
E090,2020,109937.5
E090,2021,85185.0
E090,2022,76677.0
E090,2023,74598.0
E090,2024,134460.0
E091,2020,54968.0
E091,2021,53653.0
E091,2022,62042.0
E091,2023,59633.0
E091,2024,88640.5
E092,2020,79341.0
E092,2021,73490.5
E092,2022,68789.0
E092,2023,71842.0
E092,2024,103710.0
E093,2020,138560.0
E093,2021,125202.0
E093,2022,103876.0
E093,2023,124930.0
E093,2024,161255.5
E094,2020,126523.5
E094,2021,106029.0
E094,2022,97502.5
E094,2023,99843.0
E094,2024,142445.5
E095,2020,83454.0
E095,2021,67073.5
E095,2022,70081.0
E095,2023,66377.0
E095,2024,76989.0
E096,2020,86464.0
E096,2021,69182.0
E096,2022,67672.0
E096,2023,61827.0
E096,2024,97325.5
E097,2020,38561.0
E097,2021,33520.5
E097,2022,30683.0
E097,2023,26667.0
E097,2024,31856.5
E098,2020,62801.5
E098,2021,55899.0
E098,2022,61996.0
E098,2023,59682.0
E098,2024,86509.0
E099,2020,28850.0
E099,2021,26172.0
E099,2022,27645.0
E099,2023,28739.5
E099,2024,40198.0
E100,2020,106882.5
E100,2021,88967.5
E100,2022,84219.0
E100,2023,79974.0
E100,2024,110548.5
E101,2020,86795.5
